language,lect,s_citation,m_citation,s_gloss,m_gloss,class,source,contributor,glottocode
Andi,Gagatli,пипи,,чинара,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,пиринч1и,,рис,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,помидор,,помидор,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,пулл1и,,высокая трубчатая трава,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,пупул,,зеленый лук,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,раки,,чеснок,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,рек1к1у,,сосна,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,синорл1е,,горькая трава,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,сит1е,,солома,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,сули,,дикий чеснок,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,сума,,соломина,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ссугъат,,трава среди кукурузы,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,тамако,,табак,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,тамку,,съедобная трава,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ташк1ва,,чайное растение,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,т1емерт1а,,"съедобное растение, похожее на укроп",,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,унсожим,,огурец,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,харбузи,,арбуз,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,хо,,липа,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,хханйа,,луг,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,хханйа,,сенокос,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ццухшхулл1и,,къет1ур тополь,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ц1ц1ик1к1урл1а,,щавель,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ц1ц1ини,,можжевельник,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ц1ц1ума,,камыш,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ч1абдил,,сухая трава,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ч1алк1ут1и,,свекла,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ч1аха,,хворост,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ч1аха,,прутья,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ч1аха,,остатки сена,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ч1ирхха,,вид травы,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ч1ич1ил,,виноград,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ч1окъгула,,съедобная трава,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ч1оморл1а,,съедобное трубчатое растение,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ч1ор,,ячмень голый,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ч1ч1а,,клен,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,моннор,,луг,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,эмерт1а,,съедобное горьковатое растение,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,автомобиль,,автомобиль,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,азал,,долото,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,алмасси,,алмаз,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,арада,,пушка,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,аэроплан,,азроплан,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,бадучан,,стремя,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,бежун,,иголка,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,белим,,двери,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,белц1им,,дышло,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,бесун,,нож,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,берданги,,винтовка,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,бомба,,бомба,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,газа,,кирка,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,газа,,тяпка,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,гема,,корабль,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,гулла,,пуля,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,гудур,,капкан,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,гъаци,,патронташ,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,йарагъи,,оружие,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,коц1и,,веник,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,къгалам,,карандаш,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,к1онкьа,,вилы,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,лъаблъал,,грабли,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,лъер,,лук,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,лъер,,стрела,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,л1арл1ал,,метла,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,л1ут1и,,клин,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,машина,,машина,,4,Salimov 2010,Ksenia Romanova,andi1255
